s,Sensor,Index,Measured (cm),Desired (cm),Error (cm),Abs Error (cm)
4/24/2026 15:11:42,SensorData,1,18.921,20,-1.079,1.079
4/24/2026 15:11:51,SensorData,2,19.55,21,-1.450001,1.450001
4/24/2026 15:12:02,SensorData,3,19.8594,22,-2.140598,2.140598
4/24/2026 15:12:11,SensorData,4,21.437,23,-1.563,1.563
4/24/2026 15:12:26,SensorData,5,22.6406,24,-1.359402,1.359402
4/24/2026 15:12:36,SensorData,6,22.5828,25,-2.4172,2.4172
4/24/2026 15:12:47,SensorData,7,23.2118,26,-2.788198,2.788198
4/24/2026 15:13:03,SensorData,8,24.463,27,-2.536999,2.536999
4/24/2026 15:13:14,SensorData,9,26.928,28,-1.072001,1.072001
4/24/2026 15:13:19,SensorData,10,26.8702,28,-1.129801,1.129801
4/24/2026 15:13:32,SensorData,11,27.676,29,-1.323999,1.323999
4/24/2026 15:13:46,SensorData,12,27.217,30,-2.783001,2.783001
4/24/2026 15:13:59,SensorData,13,27.846,31,-3.154001,3.154001
4/24/2026 15:14:13,SensorData,14,28.9,32,-3.1,3.1
4/24/2026 15:14:30,SensorData,15,29.9336,33,-3.066401,3.066401
4/24/2026 15:14:44,SensorData,16,30.702,34,-3.298,3.298
4/24/2026 15:15:03,SensorData,17,32.232,35,-2.768002,2.768002
4/24/2026 15:15:13,SensorData,18,32.64,36,-3.360001,3.360001
4/24/2026 15:15:22,SensorData,19,34.2856,37,-2.714397,2.714397
4/24/2026 15:15:40,SensorData,20,34.289,38,-3.710999,3.710999
4/24/2026 15:15:54,SensorData,21,35.6252,39,-3.374802,3.374802
4/24/2026 15:16:11,SensorData,22,36.72,40,-3.279999,3.279999
4/24/2026 15:16:25,SensorData,23,37.128,41,-3.872002,3.872002
4/24/2026 15:16:35,SensorData,24,39.4026,42,-2.597401,2.597401
4/24/2026 15:16:50,SensorData,25,39.1748,43,-3.825203,3.825203
4/24/2026 15:17:03,SensorData,26,39.9024,44,-4.097603,4.097603
4/24/2026 15:17:15,SensorData,27,40.6266,45,-4.373402,4.373402
4/24/2026 15:17:28,SensorData,28,41.5344,46,-4.465599,4.465599
4/24/2026 15:17:34,SensorData,29,42.313,46,-3.687,3.687
4/24/2026 15:18:00,SensorData,30,42.517,47,-4.483002,4.483002
4/24/2026 15:18:12,SensorData,31,44.489,48,-3.511002,3.511002
4/24/2026 15:18:23,SensorData,32,45.0976,49,-3.902401,3.902401
4/24/2026 15:19:40,SensorData,33,46.0734,50,-3.926598,3.926598
4/24/2026 15:19:51,SensorData,34,47.6578,51,-3.342201,3.342201
4/24/2026 15:20:01,SensorData,35,47.4572,52,-4.542797,4.542797
4/24/2026 15:20:11,SensorData,36,48.5248,53,-4.475201,4.475201
